WIRE_ID,NAME,NODE_A,NODE_B,COLOR,CABLE_TYPE
W-001,POWER_MAIN,X10,X11,黑,RVV
W-002,POWER_MAIN,X10,X11,黑,RVV
W-003,POWER_MAIN,X10,X11,黑,RVV
W-004,CONTROL_SIG,X12,X13,蓝,RVVP
W-005,CONTROL_SIG,X12,X13,蓝,RVVP
W-006,JUMP_WIRE,X14,X15,红,RVV
W-007,JUMP_WIRE,X14,X15,红,RVV
W-008,JUMP_WIRE,X14,X15,红,RVV
W-009,GROUND,X16,X17,黄绿,RVV
W-010,GROUND,X16,X17,黄绿,RVV
W-011,POWER_AUX,X18,X19,黑,RVV
W-012,POWER_AUX,X18,X19,红,RVV
W-013,SIGNAL_24V,X20,X21,蓝,RVVP
W-014,SIGNAL_24V,X20,X21,蓝,RVVP
W-015,SIGNAL_24V,X20,X21,蓝,RVV
